Name,Awards,Education
Manfred K. Warmuth,2,"University of Colorado, Boulder"
David H. D. Warren,0,University of Edinburgh
Kevin Warwick,4,"Aston University, Imperial College London"
Jan Węglarz,0,Poznań University of Technology
Philip Wadler,4,"Stanford University, Carnegie Mellon University"
Joseph Henry Wegstein,0,"University of Illinois, B.S., M.S."
Peter J. Weinberger,0,"University of California, Berkeley"
Mark Weiser,0,University of Michigan
Joseph Weizenbaum,0,Wayne State University
David Wheeler (computer scientist),6,University of Cambridge
Jennifer Widom,4,"Cornell University, Indiana University Jacobs School of Music"
Gio Wiederhold,8,"University of California, San Francisco"
Norbert Wiener,1,"Tufts College, BA, Cornell University, MA, Harvard University, PhD"
Adriaan van Wijngaarden,4,Delft University of Technology
Mary Allen Wilkes,0,"Wellesley College, Harvard Law School"
Maurice Wilkes,5,"King Edward VI College, Stourbridge"
Yorick Wilks,19,University of Cambridge
James H. Wilkinson,3,"Trinity College, Cambridge"
Sophie Wilson,6,"Selwyn College, Cambridge, University of Cambridge"
Shmuel Winograd,0,"New York University, Massachusetts Institute of Technology"
Terry Winograd,5,"Colorado College, Massachusetts Institute of Technology"
Patrick Winston,7,"MIT, [1]"
Niklaus Wirth,5,"BS, MSc, Université Laval, University of California, Berkeley"
Neil Wiseman,0,"University of Cambridge, University of Illinois, Queen Mary College"
Stephen Wolfram,4,"Dragon School, [5], Eton College"
Mike Woodger,0,University College London
Philip Woodward,3,Oxford University
Beatrice Worsley,0,"University of Toronto, Massachusetts Institute of Technology, University of Cambridge"
Steve Wozniak,0,"University of Colorado Boulder, De Anza College, University of California, Berkeley, BS, [3]"
William Wulf,0,"University of Illinois Urbana-Champaign, University of Virginia"
Mihalis Yannakakis,1,"National Technical University of Athens, Princeton University"
Andrew Yao,1,"National Taiwan University, Harvard University, University of Illinois at Urbana–Champaign"
John Yen,2,"University of California, Berkeley, Santa Clara University, National Taiwan University, National Hsinchu Senior High School"
Nobuo Yoneda,0,University of Tokyo
Edward Yourdon,4,Massachusetts Institute of Technology
Moti Yung,6,Columbia University
Lotfi A. Zadeh,4,"University of Tehran, Massachusetts Institute of Technology, Columbia University"
Arif Zaman,0,"Stanford University, [2], Harvey Mudd College, Claremont Graduate University"
Stanley Zdonik,0,Massachusetts Institute of Technology
Hussein Zedan,0,University of Bristol
Shlomo Zilberstein,0,"University of California, Berkeley, Technion – Israel Institute of Technology"
Jill Zimmerman,0,"Purdue University, University of Minnesota"
Konrad Zuse,5,Technical University of Berlin
